temps,info
2021-07-04 06:14:27,GET /activ 200 11460 - 49.787 ms

2021-07-04 06:14:35,GET /profil 302 64 - 25.967 ms

2021-07-04 06:14:35,GET /connecter 200 6458 - 5.665 ms

2021-07-04 06:14:41,POST /connecter 302 58 - 151.576 ms

2021-07-04 06:14:41,GET /profil 200 10799 - 4.334 ms

2021-07-04 06:14:41,GET /css/admin.css 404 152 - 7.786 ms

2021-07-04 06:14:46,GET /activ 500 3139 - 22.792 ms

2021-07-04 06:15:19,GET /activ 500 3139 - 17.829 ms

2021-07-04 06:15:29,GET /activ 500 3139 - 89.589 ms

2021-07-04 06:15:29,GET /activ 500 3139 - 57.653 ms

2021-07-04 06:16:17,GET /activ 500 3139 - 56.397 ms

2021-07-04 06:18:11,GET /activ 500 2271 - 60.951 ms

2021-07-04 06:18:12,GET /activ 500 2271 - 10.790 ms

2021-07-04 06:19:08,GET /activ 500 2273 - 60.495 ms

2021-07-04 06:19:10,GET /activ 500 2273 - 13.930 ms

2021-07-04 06:19:22,GET /activ 500 2273 - 43.963 ms

2021-07-04 06:19:47,GET /activ 500 3139 - 53.073 ms

2021-07-04 06:20:05,GET /activ 500 2273 - 73.824 ms

2021-07-04 06:20:12,GET /activ 500 2273 - 88.910 ms

2021-07-04 15:36:05,GET /connecter 200 6458 - 137.270 ms

2021-07-04 15:36:08,GET /favicon.ico 404 150 - 14.454 ms

2021-07-04 15:36:13,POST /connecter 302 58 - 671.023 ms

2021-07-04 15:36:13,GET /profil 304 - - 51.951 ms

2021-07-04 15:36:13,GET /css/admin.css 404 152 - 8.529 ms

2021-07-04 15:36:16,GET /verifier 302 64 - 2.928 ms

2021-07-04 15:36:16,GET /connecter 200 6458 - 60.863 ms

2021-07-04 15:36:17,GET /favicon.ico 404 150 - 3.275 ms

2021-07-04 15:36:50,POST /connecter 302 58 - 119.586 ms

2021-07-04 15:36:50,GET /profil 200 6613 - 10.817 ms

2021-07-04 15:36:50,GET /css/admin.css 404 152 - 4.596 ms

2021-07-04 15:36:52,GET /saisie 200 36858 - 16.042 ms

2021-07-04 15:36:52,GET /css/PageSaisie.css 404 157 - 3.152 ms

2021-07-04 15:55:56,GET /saisie 302 64 - 28.548 ms

2021-07-04 15:55:56,GET /connecter 200 6458 - 45.511 ms

2021-07-04 15:56:02,POST /connecter 302 58 - 146.934 ms

2021-07-04 15:56:02,GET /profil 304 - - 7.521 ms

2021-07-04 15:56:02,GET /css/admin.css 404 152 - 7.785 ms

2021-07-04 15:56:04,GET /saisie 200 36876 - 10.659 ms

2021-07-04 15:56:04,GET /css/PageSaisie.css 404 157 - 7.702 ms

2021-07-04 16:01:58,GET /saisie 302 64 - 32.454 ms

2021-07-04 16:01:59,GET /connecter 200 6458 - 34.375 ms

2021-07-04 16:02:16,POST /connecter 302 58 - 146.279 ms

2021-07-04 16:02:16,GET /profil 304 - - 7.719 ms

2021-07-04 16:02:16,GET /css/admin.css 404 152 - 9.312 ms

